Code,Chapter,Category,Subcategory,Level 2,Description
"M48.51XD","Diseases of the musculoskeletal system and connective tissue","Spondylopathies","Other spondylopathies","-","Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, subsequent encounter for fracture with routine healing"
"S52.362F","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
"E88.3","Endocrine, nutritional and metabolic diseases","Metabolic disorders","Other and unspecified metabolic disorders","-","Tumor lysis syndrome"
"L02.33","Diseases of the skin and subcutaneous tissue","Infections of the skin and subcutaneous tissue","Cutaneous abscess, furuncle and carbuncle","-","Carbuncle of buttock"
"M48.51XA","Diseases of the musculoskeletal system and connective tissue","Spondylopathies","Other spondylopathies","-","Collapsed vertebra, not elsewhere classified, occipito-atlanto-axial region, initial encounter for fracture"
"S52.362C","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type IIIA, IIIB, or IIIC"
"S52.362D","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, subsequent encounter for closed fracture with routine healing"
"S61.501S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Unspecified open wound of right wrist, sequela"
"Z41.8","Factors influencing health status and contact with health services","Encounters for other specific health care","-","-","Encounter for other procedures for purposes other than remedying health state"
"E88.1","Endocrine, nutritional and metabolic diseases","Metabolic disorders","Other and unspecified metabolic disorders","-","Lipodystrophy, not elsewhere classified"
"M84.539P","Diseases of the musculoskeletal system and connective tissue","Disorders of bone density and structure","Disorder of continuity of bone","-","Pathological fracture in neoplastic disease, unspecified ulna and radius, subsequent encounter for fracture with malunion"
"S52.362A","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, initial encounter for closed fracture"
"Z41.9","Factors influencing health status and contact with health services","Encounters for other specific health care","-","-","Encounter for procedure for purposes other than remedying health state, unspecified"
"E88.2","Endocrine, nutritional and metabolic diseases","Metabolic disorders","Other and unspecified metabolic disorders","-","Lipomatosis, not elsewhere classified"
"S52.362B","Injury, poisoning and certain other consequences of external causes","Injuries to the elbow and forearm","-","-","Displaced segmental fracture of shaft of radius, left arm, initial encounter for open fracture type I or II"
"R85.618","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Other abnormal cytological findings on specimens from anus"
"R85.619","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Unspecified abnormal cytological findings in specimens from anus"
"R85.616","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Satisfactory anal smear but lacking transformation zone"
"R85.614","Symptoms, signs and abnormal clinical and laboratory findings","Abnormal findings on examination of other body fluids, substances and tissues","-","-","Cytologic evidence of malignancy on smear of anus"
