Code,Chapter,Category,Subcategory,Level 2,Description
"S14.134D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, subsequent encounter"
"K08.539","Diseases of the digestive system","Diseases of oral cavity and salivary glands","Other disorders of teeth and supporting structures","-","Fractured dental restorative material, unspecified"
"T34.831S","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), sequela"
"S14.134A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, initial encounter"
"S20.412A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, initial encounter"
"S20.412D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, subsequent encounter"
"W16.612S","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing other injury, sequela"
"S14.134S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C4 level of cervical spinal cord, sequela"
"S20.412S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of left back wall of thorax, sequela"
"T34.831D","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), subsequent encounter"
"T34.831A","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of right toe(s), initial encounter"
"Z16.341","Factors influencing health status and contact with health services","Resistance to antimicrobial drugs","-","-","Resistance to single antimycobacterial drug"
"Z16.342","Factors influencing health status and contact with health services","Resistance to antimicrobial drugs","-","-","Resistance to multiple antimycobacterial drugs"
"S68.019A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of unspecified thumb, initial encounter"
"S14.133D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C3 level of cervical spinal cord, subsequent encounter"
"S68.019D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of unspecified thumb, subsequent encounter"
"S14.133A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C3 level of cervical spinal cord, initial encounter"
"D00.02","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of buccal mucosa"
"O31.02X3","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 3"
"D00.03","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of gingiva and edentulous alveolar ridge"
"O31.02X4","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 4"
"D00.04","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of soft palate"
"O31.02X1","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 1"
"W27.5XXS","External causes of morbidity","Exposure to inanimate mechanical forces","-","-","Contact with paper-cutter, sequela"
"D00.05","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of hard palate"
"O31.02X2","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 2"
"T34.832S","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of left toe(s), sequela"
"O31.02X0","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, not applicable or unspecified"
"D00.00","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of oral cavity, unspecified site"
"D00.01","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of labial mucosa and vermilion border"
"D73.9","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Disease of spleen, unspecified"
"H69.00","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Other and unspecified disorders of Eustachian tube","-","Patulous Eustachian tube, unspecified ear"
"Z72.6","Factors influencing health status and contact with health services","Persons encountering health services in other circumstances","-","-","Gambling and betting"
"D00.06","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of floor of mouth"
"H69.01","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Other and unspecified disorders of Eustachian tube","-","Patulous Eustachian tube, right ear"
"S14.133S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C3 level of cervical spinal cord, sequela"
"S68.019S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of unspecified thumb, sequela"
"Z72.3","Factors influencing health status and contact with health services","Persons encountering health services in other circumstances","-","-","Lack of physical exercise"
"D00.07","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of tongue"
"H69.02","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Other and unspecified disorders of Eustachian tube","-","Patulous Eustachian tube, left ear"
"Z72.4","Factors influencing health status and contact with health services","Persons encountering health services in other circumstances","-","-","Inappropriate diet and eating habits"
"D00.08","Neoplasms","In situ neoplasms","-","-","Carcinoma in situ of pharynx"
"H69.03","Diseases of the ear and mastoid process","Diseases of middle ear and mastoid","Other and unspecified disorders of Eustachian tube","-","Patulous Eustachian tube, bilateral"
"T34.832D","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of left toe(s), subsequent encounter"
"Z72.0","Factors influencing health status and contact with health services","Persons encountering health services in other circumstances","-","-","Tobacco use"
"D73.0","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Hyposplenism"
"D73.1","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Hypersplenism"
"W27.5XXD","External causes of morbidity","Exposure to inanimate mechanical forces","-","-","Contact with paper-cutter, subsequent encounter"
"D73.2","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Chronic congestive splenomegaly"
"D73.3","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Abscess of spleen"
"T34.832A","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of left toe(s), initial encounter"
"D73.4","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Cyst of spleen"
"D73.5","Diseases of the blood and blood-forming organs","Other disorders of blood and blood-forming organs","-","-","Infarction of spleen"
"S14.132D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C2 level of cervical spinal cord, subsequent encounter"
"W16.611A","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing drowning and submersion, initial encounter"
"W27.5XXA","External causes of morbidity","Exposure to inanimate mechanical forces","-","-","Contact with paper-cutter, initial encounter"
"T23.169A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of back of unspecified hand, initial encounter"
"S14.132A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C2 level of cervical spinal cord, initial encounter"
"T23.169D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of back of unspecified hand, subsequent encounter"
"S25.801A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, right side, initial encounter"
"Z72.9","Factors influencing health status and contact with health services","Persons encountering health services in other circumstances","-","-","Problem related to lifestyle, unspecified"
"S25.801D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, right side, subsequent encounter"
"O31.02X9","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, other fetus"
"S25.802A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, left side, initial encounter"
"S14.132S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C2 level of cervical spinal cord, sequela"
"O31.02X5","Pregnancy, childbirth and the puerperium","Maternal care related to the fetus and amniotic cavity and possible delivery problems","-","-","Papyraceous fetus, second trimester, fetus 5"
"T23.169S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of first degree of back of unspecified hand, sequela"
"T47.92XD","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, subsequent encounter"
"T47.92XA","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, initial encounter"
"S25.801S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, right side, sequela"
"W16.612D","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing other injury, subsequent encounter"
"W16.612A","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing other injury, initial encounter"
"S14.131D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C1 level of cervical spinal cord, subsequent encounter"
"S14.131A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C1 level of cervical spinal cord, initial encounter"
"Y23.9XXS","External causes of morbidity","Event of undetermined intent","-","-","Unspecified larger firearm discharge, undetermined intent, sequela"
"T65.891D","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of other specified substances, accidental (unintentional), subsequent encounter"
"T65.891A","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of other specified substances, accidental (unintentional), initial encounter"
"S25.802D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, left side, subsequent encounter"
"W16.611S","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing drowning and submersion, sequela"
"S14.131S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C1 level of cervical spinal cord, sequela"
"H94.00","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, unspecified ear"
"H21.81","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Floppy iris syndrome"
"H94.01","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, right ear"
"H21.82","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Plateau iris syndrome (post-iridectomy) (postprocedural)"
"H94.02","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, left ear"
"H94.03","Diseases of the ear and mastoid process","Other disorders of ear","Other disorders of ear in diseases classified elsewhere","-","Acoustic neuritis in infectious and parasitic diseases classified elsewhere, bilateral"
"T65.891S","Injury, poisoning and certain other consequences of external causes","Toxic effects of substances chiefly nonmedicinal as to source","-","-","Toxic effect of other specified substances, accidental (unintentional), sequela"
"H21.89","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Other specified disorders of iris and ciliary body"
"S25.802S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, left side, sequela"
"W16.611D","External causes of morbidity","Slipping, tripping, stumbling and falls","-","-","Jumping or diving into natural body of water striking water surface causing drowning and submersion, subsequent encounter"
"S92.251B","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, initial encounter for open fracture"
"S92.251A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, initial encounter for closed fracture"
"S14.138D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C8 level of cervical spinal cord, subsequent encounter"
"V16.2XXS","External causes of morbidity","Transport accidents","-","-","Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident, sequela"
"S92.251K","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with nonunion"
"G23.0","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Hallervorden-Spatz disease"
"G23.1","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Progressive supranuclear ophthalmoplegia [Steele-Richardson-Olszewski]"
"G23.2","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Striatonigral degeneration"
"G23.3","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Hypomyelination with atrophy of the basal ganglia and cerebellum"
"S14.138A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C8 level of cervical spinal cord, initial encounter"
"S92.251G","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with delayed healing"
"S92.251D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with routine healing"
"G23.8","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Other specified degenerative diseases of basal ganglia"
"S61.452S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of left hand, sequela"
"G23.9","Diseases of the nervous system","Extrapyramidal and movement disorders","Other degenerative diseases of basal ganglia","-","Degenerative disease of basal ganglia, unspecified"
"Y23.9XXD","External causes of morbidity","Event of undetermined intent","-","-","Unspecified larger firearm discharge, undetermined intent, subsequent encounter"
"Y23.9XXA","External causes of morbidity","Event of undetermined intent","-","-","Unspecified larger firearm discharge, undetermined intent, initial encounter"
"V16.2XXD","External causes of morbidity","Transport accidents","-","-","Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident, subsequent encounter"
"S14.138S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C8 level of cervical spinal cord, sequela"
"V16.2XXA","External causes of morbidity","Transport accidents","-","-","Unspecified pedal cyclist injured in collision with other nonmotor vehicle in nontraffic accident, initial encounter"
"S14.137D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C7 level of cervical spinal cord, subsequent encounter"
"S14.137A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C7 level of cervical spinal cord, initial encounter"
"T47.92XS","Injury, poisoning and certain other consequences of external causes","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances","-","-","Poisoning by unspecified agents primarily affecting the gastrointestinal system, intentional self-harm, sequela"
"S14.137S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C7 level of cervical spinal cord, sequela"
"V95.09XS","External causes of morbidity","Transport accidents","-","-","Other helicopter accident injuring occupant, sequela"
"H21.29","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Other iris atrophy"
"S92.253D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of unspecified foot, subsequent encounter for fracture with routine healing"
"S61.451A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of right hand, initial encounter"
"S92.253B","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for open fracture"
"V00.188S","External causes of morbidity","Transport accidents","-","-","Other accident on other rolling-type pedestrian conveyance, sequela"
"S61.451D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of right hand, subsequent encounter"
"S85.129D","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Other specified injury of unspecified tibial artery, unspecified leg, subsequent encounter"
"S31.23XS","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Puncture wound without foreign body of penis, sequela"
"S92.253A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of unspecified foot, initial encounter for closed fracture"
"S14.136D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C6 level of cervical spinal cord, subsequent encounter"
"V91.39XS","External causes of morbidity","Transport accidents","-","-","Hit or struck by falling object due to accident to unspecified watercraft, sequela"
"S68.012A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of left thumb, initial encounter"
"S85.129A","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Other specified injury of unspecified tibial artery, unspecified leg, initial encounter"
"T25.699D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of second degree of unspecified ankle and foot, subsequent encounter"
"V95.09XD","External causes of morbidity","Transport accidents","-","-","Other helicopter accident injuring occupant, subsequent encounter"
"S14.136A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C6 level of cervical spinal cord, initial encounter"
"S92.253K","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of unspecified foot, subsequent encounter for fracture with nonunion"
"S68.012D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of left thumb, subsequent encounter"
"T25.699A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of second degree of unspecified ankle and foot, initial encounter"
"S92.253G","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of unspecified foot, subsequent encounter for fracture with delayed healing"
"S92.252S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, sequela"
"V00.188A","External causes of morbidity","Transport accidents","-","-","Other accident on other rolling-type pedestrian conveyance, initial encounter"
"B33.4","Infectious and parasitic diseases","Other viral diseases","-","-","Hantavirus (cardio)-pulmonary syndrome [HPS] [HCPS]"
"V00.188D","External causes of morbidity","Transport accidents","-","-","Other accident on other rolling-type pedestrian conveyance, subsequent encounter"
"S92.252P","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with malunion"
"B33.8","Infectious and parasitic diseases","Other viral diseases","-","-","Other specified viral diseases"
"S31.23XD","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Puncture wound without foreign body of penis, subsequent encounter"
"V95.09XA","External causes of morbidity","Transport accidents","-","-","Other helicopter accident injuring occupant, initial encounter"
"S85.129S","Injury, poisoning and certain other consequences of external causes","Injuries to the knee and lower leg","-","-","Other specified injury of unspecified tibial artery, unspecified leg, sequela"
"T25.699S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Corrosion of second degree of unspecified ankle and foot, sequela"
"L66.81","Diseases of the skin and subcutaneous tissue","Disorders of skin appendages","-","-","Central centrifugal cicatricial alopecia"
"S14.136S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C6 level of cervical spinal cord, sequela"
"S31.23XA","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Puncture wound without foreign body of penis, initial encounter"
"S68.012S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Complete traumatic metacarpophalangeal amputation of left thumb, sequela"
"B33.3","Infectious and parasitic diseases","Other viral diseases","-","-","Retrovirus infections, not elsewhere classified"
"B33.0","Infectious and parasitic diseases","Other viral diseases","-","-","Epidemic myalgia"
"B33.1","Infectious and parasitic diseases","Other viral diseases","-","-","Ross River disease"
"S61.452A","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of left hand, initial encounter"
"L66.89","Diseases of the skin and subcutaneous tissue","Disorders of skin appendages","-","-","Other cicatricial alopecia"
"S92.252D","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with routine healing"
"T34.839D","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of unspecified toe(s), subsequent encounter"
"S92.252A","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, initial encounter for closed fracture"
"T34.839A","Injury, poisoning and certain other consequences of external causes","Frostbite","-","-","Frostbite with tissue necrosis of unspecified toe(s), initial encounter"
"S61.452D","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of left hand, subsequent encounter"
"S92.252B","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, initial encounter for open fracture"
"S14.135D","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C5 level of cervical spinal cord, subsequent encounter"
"S14.135A","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C5 level of cervical spinal cord, initial encounter"
"S20.411A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of right back wall of thorax, initial encounter"
"S92.252K","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with nonunion"
"V91.39XA","External causes of morbidity","Transport accidents","-","-","Hit or struck by falling object due to accident to unspecified watercraft, initial encounter"
"S92.252G","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of left foot, subsequent encounter for fracture with delayed healing"
"T22.30XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, initial encounter"
"T22.319A","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of unspecified forearm, initial encounter"
"S20.411D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of right back wall of thorax, subsequent encounter"
"T22.30XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, subsequent encounter"
"T22.319D","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of unspecified forearm, subsequent encounter"
"H21.41","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Pupillary membranes, right eye"
"H21.42","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Pupillary membranes, left eye"
"K08.530","Diseases of the digestive system","Diseases of oral cavity and salivary glands","Other disorders of teeth and supporting structures","-","Fractured dental restorative material without loss of material"
"S92.251S","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, sequela"
"H21.43","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Pupillary membranes, bilateral"
"S92.251P","Injury, poisoning and certain other consequences of external causes","Injuries to the ankle and foot","-","-","Displaced fracture of navicular [scaphoid] of right foot, subsequent encounter for fracture with malunion"
"S61.451S","Injury, poisoning and certain other consequences of external causes","Injuries to the wrist, hand and fingers","-","-","Open bite of right hand, sequela"
"V91.39XD","External causes of morbidity","Transport accidents","-","-","Hit or struck by falling object due to accident to unspecified watercraft, subsequent encounter"
"S14.135S","Injury, poisoning and certain other consequences of external causes","Injuries to the neck","-","-","Anterior cord syndrome at C5 level of cervical spinal cord, sequela"
"H21.40","Diseases of the eye and adnexa","Disorders of sclera, cornea, iris and ciliary body","Other disorders of iris and ciliary body","-","Pupillary membranes, unspecified eye"
"K08.531","Diseases of the digestive system","Diseases of oral cavity and salivary glands","Other disorders of teeth and supporting structures","-","Fractured dental restorative material with loss of material"
"S20.411S","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Abrasion of right back wall of thorax, sequela"
"T22.30XS","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of shoulder and upper limb, except wrist and hand, unspecified site, sequela"
"T22.319S","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of third degree of unspecified forearm, sequela"
"S36.62XD","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of rectum, subsequent encounter"
"S36.62XS","Injury, poisoning and certain other consequences of external causes","Injuries to the abdomen, lower back, lumbar spine, pelvis and external genitals","-","-","Contusion of rectum, sequela"
"I63.9","Diseases of the circulatory system","Cerebrovascular diseases","Cerebral infarction","-","Cerebral infarction, unspecified"
"I63.6","Diseases of the circulatory system","Cerebrovascular diseases","Cerebral infarction","-","Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
"W55.11XA","External causes of morbidity","Exposure to animate mechanical forces","-","-","Bitten by horse, initial encounter"
"C79.2","Neoplasms","Malignant neoplasms of ill-defined, other secondary and unspecified sites","-","-","Secondary malignant neoplasm of skin"
"W55.11XD","External causes of morbidity","Exposure to animate mechanical forces","-","-","Bitten by horse, subsequent encounter"
"V93.40XS","External causes of morbidity","Transport accidents","-","-","Struck by falling object on merchant ship, sequela"
"T20.29XD","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of multiple sites of head, face, and neck, subsequent encounter"
"T20.29XA","Injury, poisoning and certain other consequences of external causes","Burns and corrosions of external body surface","-","-","Burn of second degree of multiple sites of head, face, and neck, initial encounter"
"W55.11XS","External causes of morbidity","Exposure to animate mechanical forces","-","-","Bitten by horse, sequela"
"V93.40XA","External causes of morbidity","Transport accidents","-","-","Struck by falling object on merchant ship, initial encounter"
"S25.809A","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, unspecified side, initial encounter"
"V93.40XD","External causes of morbidity","Transport accidents","-","-","Struck by falling object on merchant ship, subsequent encounter"
"S25.809D","Injury, poisoning and certain other consequences of external causes","Injuries to the thorax","-","-","Unspecified injury of other blood vessels of thorax, unspecified side, subsequent encounter"
"C79.9","Neoplasms","Malignant neoplasms of ill-defined, other secondary and unspecified sites","-","-","Secondary malignant neoplasm of unspecified site"
